login,name,num_repos_contributed,total_contributions,repos_list
kosuri-indu,Kosuri Indu,6,81,HealthBase.jl; HealthDash.jl; JuliaHealthAudit; OHDSIAPI.jl; OMOPCDMFeasibility.jl; juliahealth.github.io
ParamThakkar123,Param Thakkar,4,73,HealthLLM.jl; HealthSampleData.jl; JuliaHealthLLM; MedEval3D.jl
jagiellonczyk14,jagiellonczyk14,2,68,MedEval3D.jl; MedEye3d.jl
aTrotier,aTrotier,1,46,KomaMRI.jl
Jay-sanjay,Jay-sanjay,3,41,OMOPCDMCohortCreator.jl; OMOPCDMPathways.jl; juliahealth.github.io
jasonk33,Jason Katz,2,34,BioMedQuery.jl; CAOS.jl
InterdisciplinaryPhysicsTeam,Interdisciplinary Physics Team (InPhyT),1,33,ICD_GEMs.jl
Mounika-Thakkallapally,Mounika Thakkallapally,2,28,OMOPVocabMapper.jl; juliahealth.github.io
gsahonero,Guillermo Sahonero Alvarez,1,27,KomaMRI.jl
curtcorum,Curt Corum,1,24,KomaMRI.jl
timholy,Tim Holy,1,22,PubChemCrawler.jl
devmotion,David Müller-Widmann,4,21,EHRAuthentication.jl; FHIRClient.jl; SMARTAppLaunch.jl; SMARTBackendServices.jl
fdekerme,François de Kermenguy,1,20,DICOMTree.jl
AshlinHarris,Ashlin Harris,1,17,OMOPVocabMapper.jl
ibacher,Ian,2,15,BioMedQuery.jl; PubMedMiner.jl
vsaase,Victor Saase,1,13,DICOM.jl
JanZubik,Jan Zubik,3,10,MedImages.jl; MedPipe3D.jl; juliahealth.github.io
pitmonticone,Pietro Monticone,2,10,ICD_GEMs.jl; JuliaHealthWebsiteOld
AbdAlazezAhmed,AbdulazizAhmed,1,9,Thunderbolt.jl
ihnorton,Isaiah Norton,1,9,DICOM.jl
JuliaTagBot,Julia TagBot,8,8,ARules.jl; BioMedQuery.jl; CAOS.jl; CTakesParser.jl; DICOM.jl; MTIWrapper.jl; NCEI.jl; PubMedMiner.jl
Hetarth02,Hetarth Shah,2,7,JuliaHealthWebsiteOld; juliahealth.github.io
tinorodriguez,Tino Rodríguez,1,7,KomaMRI.jl
Vaibhavdixit02,Vaibhav Dixit,2,7,EHRAuthentication.jl; SMARTAppLaunch.jl
simonster,Simon Kornblith,1,6,DICOM.jl
bcbi-bot,BCBI Bot,3,6,ARules.jl; BioMedQuery.jl; CAOS.jl
ultradian,ultradian,1,5,DICOM.jl
00krishna,Krishna Bhogaonker,2,5,IPUMS.jl; juliahealth.github.io
mateuszbaran,Mateusz Baran,1,4,DICOM.jl
tp2750,Thomas Poulsen,1,4,PubChemCrawler.jl
Abdelrahman912,Abdelrahman Fathy (Tee),1,4,Thunderbolt.jl
rupalimits,Rupali Patel,1,4,MedEval3D.jl
JeffBezanson,Jeff Bezanson,1,3,DICOM.jl
StefanKarpinski,Stefan Karpinski,1,3,DICOM.jl
AaronGhost,AaronGhost,1,3,DICOM.jl
KookiesNKareem,Kareem,1,3,KomaMRI.jl
Farreeda,Farida Abdelazeez,2,2,OHDSIAPI.jl; OMOPCDMCohortCreator.jl
MarijaGijic,Marija Gijic,1,2,MedPipe3D.jl
adambrewster,Adam Brewster,1,2,DICOM.jl
BenRussert,Ben Russert,1,2,DICOM.jl
tkelman,Tony Kelman,1,2,BioMedQuery.jl
SimonDanisch,Simon,1,2,DICOM.jl
kylebeggs,Kyle Beggs,1,2,Thunderbolt.jl
jw3126,Jan Weidner,1,2,DICOM.jl
pabloirarrazaval,Pablo Irarrazaval,1,1,KomaMRI.jl
fossabot,fossabot,1,1,NCEI.jl
MichelaRocchetti,MichelaRocchetti,1,1,juliahealth.github.io
nicoleepp,Nicole Epp,1,1,BioMedQuery.jl
Keno,Keno Fischer,1,1,DICOM.jl
fredrikekre,Fredrik Ekre,1,1,NCEI.jl
fchichorro,Filipe Chichorro,1,1,PubChemCrawler.jl
carlobaldassi,Carlo Baldassi,1,1,DICOM.jl
nHackel,Niklas Hackelberg,1,1,KomaMRI.jl
asinghvi17,Anshul Singhvi,1,1,OMOPCDMPathways.jl
logankilpatrick,Logan Kilpatrick ,1,1,JuliaHealthWebsiteOld
gabuzi,gabuzi,1,1,KomaMRI.jl
thePlasm,Rasmus Jepsen,1,1,KomaMRI.jl
dublinsubway,dublinsubway,1,1,OMOPCDMCohortCreator.jl
oscardssmith,Oscar Smith,1,1,Thunderbolt.jl
ChrisRackauckas,Christopher Rackauckas,1,1,JuliaHealthWebsiteOld
calberolalopez,calberolalopez,1,1,KomaMRI.jl
Dale-Black,Dale-Black,1,1,DICOM.jl
davidssmith,David Smith,1,1,DICOM.jl
